Location,Country,total_high_severity_accidents
"ALBUQUERQUE, NM",United States,1
"ALIQUIPPA, PA",United States,1
"BECKLEY, WV",United States,1
"BIRMINGHAM, AL",United States,1
"BRUNSWICK, GA",United States,1
"BURLINGTON TWP., NJ",United States,2
"CARROLLTON, GA",United States,1
"CARY, NC",United States,1
"CERRITOS, CA",United States,2
"CHANTILLY, VA",United States,1
"CHARLOTTE, NC",United States,1
"COLORADO SPGS, CO",United States,1
"CONCORD, CA",United States,1
"COVE NECK, NY",United States,1
"COVINGTON, KY",United States,1
"DALLAS/FT WORTH, TX",United States,2
"DENVER, CO",United States,1
"EAGLE LAKE, TX",United States,1
"EAST MORICHES, NY",United States,1
"FLUSHING, NY",United States,1
"GRAND CANYON, AZ",United States,3
"GROTTOES, VA",United States,1
"GUATEMALA CITY, Guatemala",Guatemala,1
"HALAWA,MOLOKAI, HI",United States,1
"HIBBING, MN",United States,1
"HOBART BAY, AK",United States,1
"HOMER, AK",United States,1
"HONOLULU, HI",United States,1
"JACKSONVILLE, FL",United States,1
"JUNEAU, AK",United States,1
"Kirksville, MO",United States,1
"LINDALE, TX",United States,1
"LITTLE ROCK, AR",United States,1
"LOS ANGELES, CA",United States,2
"Lexington, KY",United States,1
"Los Angeles, CA",United States,1
"MIAMI, FL",United States,1
"MILWAUKEE, WI",United States,1
"MONROE, MI",United States,1
"MORRISVILLE, NC",United States,1
"NEW ORLEANS, LA",United States,1
"NIMITZ HILL, GU",United States,1
PACIFIC OCEAN,PACIFIC OCEAN,1
"PERRIS, CA",United States,1
"PROVIDENCE, RI",United States,1
"Port Hueneme, CA",United States,1
"QUINCY, IL",United States,2
"RENO, NV",United States,1
"ROMULUS, MI",United States,4
"ROSELAWN, IN",United States,1
"SAN LUIS OBISPO, CA",United States,3
"SHEMYA, AK",United States,1
"SILVANA, WA",United States,1
"SIOUX CITY, IA",United States,1
"San Dimas, CA",United States,1
"WAIPIO VALLEY, HI",United States,1
"WASHINGTON, DC",United States,1
